Dataset age-sex (vacs)
country,date,age_group,age_begin,age_end,vacsF,vacsM,vacs2F,vacs2M,vacs_any_percent_F,vacs_any_percent_M,vacs_2_percent_F,vacs_2_percent_M,populationin1000sF,populationin1000sM
Australia,6/15/2022,12-15,12,15,515307,534726,488931,505305,0.834,0.823,0.792,,618,650
Australia,6/15/2022,16-19,16,19,548959,565545,538911,552132,0.928,0.913,0.911,,592,619
Australia,6/15/2022,20-24,20,24,748548,777288,732530,755429,0.956,0.958,0.935,,783,811
Australia,6/15/2022,25-29,25,29,852009,880828,832439,855729,0.978,0.968,0.956,,871,910
Australia,6/15/2022,30-34,30,34,913414,896800,896155,874575,0.976,0.954,0.958,,936,940
Australia,6/15/2022,35-39,35,39,900327,887448,887186,869942,0.977,0.963,0.963,,921,922
Australia,6/15/2022,40-44,40,44,810716,810275,801015,796877,0.991,1.000,0.979,,818,810
Australia,6/15/2022,45-49,45,49,779411,769746,771923,759491,0.921,0.926,0.913,,846,832
Australia,6/15/2022,50-54,50,54,800624,781114,793132,772231,1.000,1.000,1.000,,789,769
Australia,6/15/2022,55-59,55,59,745165,728803,736878,721231,0.953,0.950,0.942,,782,767
Australia,6/15/2022,60-64,60,64,732444,702465,724067,695341,1.000,1.000,0.999,,725,694
Australia,6/15/2022,65-69,65,69,651868,615616,644961,608792,1.000,1.000,1.000,,631,602
Australia,6/15/2022,70-74,70,74,573990,543024,568901,537406,1.000,1.000,1.000,,556,528
Australia,6/15/2022,75-79,75,79,446389,415616,442645,411288,1.000,1.000,1.000,,397,366
Australia,6/15/2022,80-84,80,84,306190,263833,302722,260329,1.000,1.000,1.000,,282,241
Australia,6/15/2022,85-89,85,89,200514,149011,196968,145905,1.000,1.000,1.000,,192,137
Australia,6/15/2022,90-94,90,94,113484,67414,110354,65134,1.000,1.000,1.000,,100,56
Australia,6/15/2022,95-999,95,999,46041,18749,43786,17644,1.000,1.000,1.000,,33,13
Austria,6/15/2022,0-11,0,11,79693,85871,70685,76098,0.158,0.160,0.140,,505,537
Austria,6/15/2022,12-14,12,14,72430,75131,67761,70152,0.586,0.569,0.548,,124,132
Austria,6/15/2022,15-24,15,24,367315,392036,347851,367552,0.791,0.789,0.749,,464,497
Austria,6/15/2022,25-34,25,34,464256,499417,441015,473000,0.775,0.795,0.736,,599,628
Austria,6/15/2022,35-44,35,44,476923,489449,457653,468762,0.809,0.817,0.776,,590,599
Austria,6/15/2022,45-54,45,54,541088,535688,524532,518746,0.816,0.809,0.791,,663,663
Austria,6/15/2022,55-64,55,64,567808,568402,556695,556635,0.792,0.807,0.777,,717,704
Austria,6/15/2022,65-74,65,74,421998,376478,416197,371089,0.924,0.938,0.911,,457,401
Austria,6/15/2022,75-84,75,84,333361,257653,328330,253807,0.907,0.935,0.893,,368,276
Austria,6/15/2022,85-999,85,999,143456,76673,138894,74511,0.943,1.000,0.913,,152,76
Belgium,6/13/2022,0-4,0,4,10902,11815,10641,9863,0.035,0.036,0.035,,307,326
Belgium,6/13/2022,5-11,5,11,151505,159144,144204,150959,0.333,0.328,0.317,,455,485
Belgium,6/13/2022,12-15,12,15,202120,210814,199811,207870,0.784,0.772,0.775,,258,273
Belgium,6/13/2022,16-17,16,17,107081,110626,105902,108985,0.861,0.842,0.852,,124,131
Belgium,6/13/2022,18-24,18,24,390538,398416,385496,391492,0.880,0.850,0.868,,444,469
Belgium,6/13/2022,25-34,25,34,627596,627488,620223,617945,0.863,0.840,0.853,,727,747
Belgium,6/13/2022,35-44,35,44,655121,650895,649530,643954,0.874,0.856,0.867,,749,760
Belgium,6/13/2022,45-54,45,54,690915,709637,687204,704942,0.904,0.890,0.899,,765,798
Belgium,6/13/2022,55-64,55,64,713620,717584,710638,714361,0.843,0.841,0.839,,847,853
Belgium,6/13/2022,65-74,65,74,584677,541489,582132,538797,0.939,0.956,0.935,,623,567
Belgium,6/13/2022,75-84,75,84,376471,289595,373862,287170,0.939,0.954,0.932,,401,304
Belgium,6/13/2022,85-999,85,999,204478,102405,200910,100153,0.910,0.909,0.894,,225,113
Cambodia,12/13/2021,5-5,5,5,144614,144037,91381,93975,0.828,0.796,0.523,,175,181
Cambodia,12/13/2021,6-11,6,11,978884,1010717,932860,955520,0.966,0.955,0.921,,1013,1059
Cambodia,12/13/2021,12-17,12,17,892975,914667,855310,869105,0.982,0.978,0.940,,910,935
Cambodia,12/13/2021,18-999,18,999,5111432,5010215,4909866,4851299,0.915,0.986,0.879,,5587,5081
Canada,5/21/2022,0-11,0,11,792988,828672,593352,615072,0.341,0.340,0.255,,2327,2439
Canada,5/21/2022,12-17,12,17,1062872,1103310,1018685,1054579,0.924,0.916,0.886,,1150,1204
Canada,5/21/2022,18-29,18,29,2620291,2704563,2524918,2577555,0.903,0.896,0.871,,2900,3018
Canada,5/21/2022,30-39,30,39,2408243,2383893,2338712,2294837,0.912,0.904,0.886,,2641,2638
Canada,5/21/2022,40-49,40,49,2265267,2193545,2219825,2133831,0.931,0.909,0.912,,2433,2414
Canada,5/21/2022,50-59,50,59,2367062,2293024,2326525,2244623,0.915,0.883,0.900,,2586,2597
