Dataset age-sex (deaths)
country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,populationin1000sM
Afghanistan,11/16/2021,10-19,10,19,13,12,4792,5030
Afghanistan,11/16/2021,20-29,20,29,41,66,3408,3628
Afghanistan,11/16/2021,30-39,30,39,55,142,2167,2367
Afghanistan,11/16/2021,40-49,40,49,141,291,1418,1545
Afghanistan,11/16/2021,50-59,50,59,318,472,900,941
Afghanistan,11/16/2021,60-69,60,69,436,746,537,521
Afghanistan,11/16/2021,70-79,70,79,260,540,263,217
Afghanistan,11/16/2021,80,80,999,111,305,60,46
Albania,3/21/2022,0-4,0,4,0,0,80,87
Albania,3/21/2022,5-9,5,9,0,0,80,88
Albania,3/21/2022,10-14,10,14,0,0,75,87
Albania,3/21/2022,15-19,15,19,0,0,93,106
Albania,3/21/2022,20-24,20,24,3,2,111,117
Albania,3/21/2022,25-29,25,29,4,0,115,129
Albania,3/21/2022,30-39,30,39,11,12,177,213
Albania,3/21/2022,40-49,40,49,26,44,167,156
Albania,3/21/2022,50-59,50,59,84,149,199,187
Albania,3/21/2022,60-64,60,64,84,148,95,91
Albania,3/21/2022,65-69,65,69,114,227,74,70
Albania,3/21/2022,70-74,70,74,124,270,56,52
Albania,3/21/2022,75-79,75,79,125,235,45,41
Albania,3/21/2022,80,80,999,128,233,46,39
Argentina,3/28/2022,0-4,0,4,47,60,1833,1903
Argentina,3/28/2022,5-9,5,9,27,21,1821,1889
Argentina,3/28/2022,10-14,10,14,18,25,1766,1831
Argentina,3/28/2022,15-19,15,19,84,77,1740,1800
Argentina,3/28/2022,20-24,20,24,143,141,1715,1763
Argentina,3/28/2022,25-29,25,29,283,307,1745,1775
Argentina,3/28/2022,30-34,30,34,411,573,1660,1659
Argentina,3/28/2022,35-39,35,39,643,991,1572,1550
Argentina,3/28/2022,40-44,40,44,1051,1703,1572,1518
Argentina,3/28/2022,45-49,45,49,1456,2706,1360,1278
Argentina,3/28/2022,50-54,50,54,2098,3961,1198,1103
Argentina,3/28/2022,55-59,55,59,3078,5617,1120,1003
Argentina,3/28/2022,60-64,60,64,4085,7503,1007,877
Argentina,3/28/2022,65-69,65,69,5496,9443,899,746
